VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,"1/1/2018, 2:49:32 AM","1/1/2018, 2:59:52 AM",1,1.36,1,N,41,74,2,8.5,0.5,0.5,0,0,0.3,9.8,-,-
2,"1/1/2018, 2:24:32 AM","1/1/2018, 2:50:35 AM",1,5.49,1,N,234,151,1,21.5,0.5,0.5,5.7,0,0.3,28.5,-,-
2,"1/1/2018, 2:56:01 AM","1/1/2018, 3:17:31 AM",1,1.75,1,N,142,68,1,14,0.5,0.5,3.06,0,0.3,18.36,-,-
1,"1/1/2018, 2:25:07 AM","1/1/2018, 2:44:14 AM",2,2.3,1,N,237,48,1,13.5,0.5,0.5,2.95,0,0.3,17.75,-,-
1,"1/1/2018, 2:44:54 AM","1/1/2018, 2:51:49 AM",2,1.6,1,N,48,239,1,7.5,0.5,0.5,2,0,0.3,10.8,-,-
1,"1/1/2018, 2:55:47 AM","1/1/2018, 2:58:26 AM",2,0.6,1,N,239,239,2,4,0.5,0.5,0,0,0.3,5.3,-,-
2,"1/1/2018, 2:41:42 AM","1/1/2018, 3:16:25 AM",4,19.91,2,N,132,151,1,52,0,0.5,14.64,5.76,0.3,73.2,-,-
1,"1/1/2018, 2:16:51 AM","1/1/2018, 2:38:32 AM",1,4.1,1,N,90,217,1,17,0.5,0.5,1,0,0.3,19.3,-,-
1,"1/1/2018, 2:50:38 AM","1/1/2018, 3:11:31 AM",1,9,1,N,256,89,1,27,0.5,0.5,7.05,0,0.3,35.35,-,-
2,"1/1/2018, 2:13:46 AM","1/1/2018, 2:16:14 AM",1,0.59,1,N,236,236,1,4,0.5,0.5,0.53,0,0.3,5.83,-,-
2,"1/1/2018, 2:20:25 AM","1/1/2018, 2:22:41 AM",1,0.43,1,N,236,75,1,3.5,0.5,0.5,1.2,0,0.3,6,-,-
2,"1/1/2018, 2:24:42 AM","1/1/2018, 2:40:45 AM",1,4.54,1,N,75,137,2,16.5,0.5,0.5,0,0,0.3,17.8,-,-
2,"1/1/2018, 2:42:06 AM","1/1/2018, 2:49:51 AM",1,1.5,1,N,137,107,1,7.5,0.5,0.5,2.64,0,0.3,11.44,-,-
2,"1/1/2018, 2:57:36 AM","1/1/2018, 3:08:27 AM",1,1.92,1,N,79,162,1,9,0.5,0.5,2.58,0,0.3,12.88,-,-
2,"1/1/2018, 2:25:19 AM","1/1/2018, 2:34:31 AM",1,0.28,1,N,186,186,2,7,0.5,0.5,0,0,0.3,8.3,-,-
2,"1/1/2018, 2:46:20 AM","1/1/2018, 3:38:22 AM",1,11.04,1,N,48,61,2,41,0.5,0.5,0,0,0.3,42.3,-,-
2,"1/1/2018, 2:25:02 AM","1/1/2018, 2:29:41 AM",5,0.72,1,N,236,140,2,5,0.5,0.5,0,0,0.3,6.3,-,-
